Name,BioProject,BioSample,SRA,Assembly,Collection
MMMOSAM:d70334e8-ee58-4a3a-915a-a53a06fda878,PRJNA604975,SAMN18254299,SRR13991731,NA,Oxford
MMMOSAM:d6c1aa0e-0156-4166-ba67-8127e7691afb,PRJNA604975,SAMN18254302,SRR13991732,NA,Oxford
MMMOSAM:d6bfa1e2-8663-43ad-9ba1-0f25a78de328,PRJNA604975,SAMN18254303,SRR13991733,NA,Oxford
MMMOSAM:d659f2c2-bc2a-4f2a-9a7f-dffec5a05a54,PRJNA604975,SAMN18254304,SRR13991734,NA,Oxford
MMMOSAM:d5f43352-b925-4aef-b511-ed31c6151dfb,PRJNA604975,SAMN18254307,SRR13991735,NA,Oxford
MMMOSAM:d5c14bf7-225d-4440-a201-eb57e286d7a0,PRJNA604975,SAMN18254309,SRR13991736,NA,Oxford
MMMOSAM:d57edefe-1871-4aa6-b6fa-f0da2e8ef69a,PRJNA604975,SAMN18254312,SRR13991737,NA,Oxford
MMMOSAM:d52cefb1-0865-4ccb-a5fd-57c25bd47d1c,PRJNA604975,SAMN18254314,SRR13991738,NA,Oxford
MMMOSAM:d4e40766-2573-4b41-91fe-29179e25c98c,PRJNA604975,SAMN18254317,SRR13991739,NA,Oxford
MMMOSAM:d4c9e50f-40d5-4c7c-8e9c-937fb252b512,PRJNA604975,SAMN18254319,SRR13991740,NA,Oxford
MMMOSAM:d466053a-f81f-4516-9c5b-4cd36ffd491d,PRJNA604975,SAMN18254322,SRR13991741,NA,Oxford
MMMOSAM:d1f76cc5-8732-4fd0-960d-06b4cde0a933,PRJNA604975,SAMN18254337,SRR13991742,NA,Oxford
MMMOSAM:d1bb40fd-9384-42aa-888d-ca7623e182ec,PRJNA604975,SAMN18254338,SRR13991743,NA,Oxford
