Name,BioProject,BioSample,SRA,Assembly,Collection
eo1670,PRJEB4681,SAMEA2205178,ERR434502,GCF_000005845.1,Cambridge
eo1694,PRJEB4681,SAMEA2205191,ERR434503,GCF_000005845.1,Cambridge
eo1699,PRJEB4681,SAMEA2205197,ERR434504,GCF_000005845.1,Cambridge
eo2441,PRJEB4681,SAMEA2205203,ERR434505,GCF_000005845.1,Cambridge
eo1709,PRJEB4681,SAMEA2205207,ERR434506,GCF_000005845.1,Cambridge
eo1599,PRJEB4681,SAMEA2205226,ERR434507,GCF_000005845.1,Cambridge
eo1858,PRJEB4681,SAMEA2205231,ERR434508,GCF_000005845.1,Cambridge
eo1871,PRJEB4681,SAMEA2205238,ERR434509,GCF_000005845.1,Cambridge
eo2154,PRJEB4681,SAMEA2205244,ERR434510,GCF_000005845.1,Cambridge
eo1564,PRJEB4681,SAMEA2205275,ERR434511,GCF_000005845.1,Cambridge
eo1565,PRJEB4681,SAMEA2205277,ERR434512,GCF_000005845.1,Cambridge
eo1594,PRJEB4681,SAMEA2205298,ERR434513,GCF_000005845.1,Cambridge
eo1453,PRJEB4681,SAMEA2205300,ERR434514,GCF_000005845.1,Cambridge
eo1450,PRJEB4681,SAMEA2205301,ERR434515,GCF_000005845.1,Cambridge
eo1449,PRJEB4681,SAMEA2205334,ERR434516,GCF_000005845.1,Cambridge
eo1936,PRJEB4681,SAMEA2205335,ERR434517,GCF_000005845.1,Cambridge
eo2012,PRJEB4681,SAMEA2205339,ERR434518,GCF_000005845.1,Cambridge
eo2016,PRJEB4681,SAMEA2205346,ERR434519,GCF_000005845.1,Cambridge
eo1384,PRJEB4681,SAMEA2205366,ERR434520,GCF_000005845.1,Cambridge
eo2099,PRJEB4681,SAMEA2205368,ERR434521,GCF_000005845.1,Cambridge
eo2431,PRJEB4681,SAMEA2205374,ERR434522,GCF_000005845.1,Cambridge
eo2275,PRJEB4681,SAMEA2205386,ERR434523,GCF_000005845.1,Cambridge
eo2198,PRJEB4681,SAMEA2205396,ERR434524,GCF_000005845.1,Cambridge
eo2199,PRJEB4681,SAMEA2205397,ERR434525,GCF_000005845.1,Cambridge
eo1563,PRJEB4681,SAMEA2205398,ERR434526,GCF_000005845.1,Cambridge
eo2358,PRJEB4681,SAMEA2205400,ERR434527,GCF_000005845.1,Cambridge
eo1881,PRJEB4681,SAMEA2205406,ERR434528,GCF_000005845.1,Cambridge
eo1932,PRJEB4681,SAMEA2205414,ERR434529,GCF_000005845.1,Cambridge
eo2438,PRJEB4681,SAMEA2205421,ERR434530,GCF_000005845.1,Cambridge
eo2579,PRJEB4681,SAMEA2205436,ERR434531,GCF_000005845.1,Cambridge
eo2658,PRJEB4681,SAMEA2205458,ERR434532,GCF_000005845.1,Cambridge
eo2700,PRJEB4681,SAMEA2205464,ERR434533,GCF_000005845.1,Cambridge
eo2972,PRJEB4681,SAMEA2205492,ERR434534,GCF_000005845.1,Cambridge
eo2988,PRJEB4681,SAMEA2205498,ERR434535,GCF_000005845.1,Cambridge
eo3032,PRJEB4681,SAMEA2205507,ERR434536,GCF_000005845.1,Cambridge
eo3187,PRJEB4681,SAMEA2205541,ERR434537,GCF_000005845.1,Cambridge
eo3383,PRJEB4681,SAMEA2205566,ERR434538,GCF_000005845.1,Cambridge
eo1176,PRJEB4681,SAMEA2205639,ERR434539,GCF_000005845.1,Cambridge
eo3425,PRJEB4681,SAMEA2205680,ERR434540,GCF_000005845.1,Cambridge
eo2592,PRJEB4681,SAMEA2205713,ERR434541,GCF_000005845.1,Cambridge
eo3769,PRJEB4681,SAMEA2205739,ERR434542,GCF_000005845.1,Cambridge
eo1876,PRJEB4681,SAMEA2205751,ERR434543,GCF_000005845.1,Cambridge
eo2277,PRJEB4681,SAMEA2205755,ERR434544,GCF_000005845.1,Cambridge
eo2354,PRJEB4681,SAMEA2205758,ERR434545,GCF_000005845.1,Cambridge
eo2372,PRJEB4681,SAMEA2205759,ERR434546,GCF_000005845.1,Cambridge
ECO0050,PRJEB4681,SAMEA2204278,ERR434547,GCF_000005845.1,Cambridge
ECO0203,PRJEB4681,SAMEA2204422,ERR434548,GCF_000005845.1,Cambridge
ECO0204,PRJEB4681,SAMEA2204423,ERR434549,GCF_000005845.1,Cambridge
ECO0218,PRJEB4681,SAMEA2204436,ERR434550,GCF_000005845.1,Cambridge
ECO0221,PRJEB4681,SAMEA2204438,ERR434551,GCF_000005845.1,Cambridge
ECO0250,PRJEB4681,SAMEA2204467,ERR434552,GCF_000005845.1,Cambridge
ECO0254,PRJEB4681,SAMEA2204471,ERR434553,GCF_000005845.1,Cambridge
ECO0258,PRJEB4681,SAMEA2204475,ERR434554,GCF_000005845.1,Cambridge
ECO0265,PRJEB4681,SAMEA2204482,ERR434555,GCF_000005845.1,Cambridge
ECO0268,PRJEB4681,SAMEA2204485,ERR434556,GCF_000005845.1,Cambridge
ECO0279,PRJEB4681,SAMEA2204496,ERR434557,GCF_000005845.1,Cambridge
ECO0280,PRJEB4681,SAMEA2204497,ERR434558,GCF_000005845.1,Cambridge
ECO0193,PRJEB4681,SAMEA2204515,ERR434559,GCF_000005845.1,Cambridge
ECO0408,PRJEB4681,SAMEA2204619,ERR434560,GCF_000005845.1,Cambridge
ECO0431,PRJEB4681,SAMEA2204637,ERR434561,GCF_000005845.1,Cambridge
ECO0433,PRJEB4681,SAMEA2204639,ERR434562,GCF_000005845.1,Cambridge
ECO0436,PRJEB4681,SAMEA2204642,ERR434563,GCF_000005845.1,Cambridge
ECO0438,PRJEB4681,SAMEA2204644,ERR434564,GCF_000005845.1,Cambridge
eo25,PRJEB4681,SAMEA2204649,ERR434565,GCF_000005845.1,Cambridge
eo31,PRJEB4681,SAMEA2204655,ERR434566,GCF_000005845.1,Cambridge
eo32,PRJEB4681,SAMEA2204656,ERR434567,GCF_000005845.1,Cambridge
eo124,PRJEB4681,SAMEA2204675,ERR434568,GCF_000005845.1,Cambridge
eo142,PRJEB4681,SAMEA2204681,ERR434569,GCF_000005845.1,Cambridge
eo144,PRJEB4681,SAMEA2204683,ERR434570,GCF_000005845.1,Cambridge
eo464,PRJEB4681,SAMEA2204793,ERR434571,GCF_000005845.1,Cambridge
eo467,PRJEB4681,SAMEA2204796,ERR434572,GCF_000005845.1,Cambridge
